t, v, f,
       0.000000e+000,       0.000000e+000,       1.259000e-012,
       9.905369e-004,       9.855840e-002,       1.818000e-010,
       1.990979e-003,       1.986030e-001,       7.803000e-011,
       2.991422e-003,       2.986470e-001,      -2.580000e-012,
       3.991865e-003,       3.986910e-001,      -1.288000e-003,
       4.992315e-003,       4.987360e-001,      -1.365000e+000,
       5.992764e-003,       5.987810e-001,      -1.707000e+001,
       6.993209e-003,       6.988260e-001,      -6.796000e+001,
       7.993656e-003,       7.988700e-001,      -1.505000e+002,
       8.994102e-003,       8.989150e-001,      -2.039000e+002,
       9.994542e-003,       9.989590e-001,      -1.860000e+002,
       1.099498e-002,       1.099000e+000,      -1.407000e+002,
       1.199540e-002,       1.199050e+000,      -1.740000e+002,
       1.299583e-002,       1.299090e+000,      -2.855000e+002,
       1.399623e-002,       1.399130e+000,      -3.811000e+002,
       1.499664e-002,       1.499170e+000,      -4.095000e+002,
       1.599704e-002,       1.599210e+000,      -4.445000e+002,
       1.699744e-002,       1.699250e+000,      -5.223000e+002,
       1.799784e-002,       1.799290e+000,      -5.949000e+002,
       1.899829e-002,       1.899330e+000,      -6.212000e+002,
       1.999878e-002,       1.999380e+000,      -6.728000e+002,
       2.099931e-002,       2.099440e+000,      -7.663000e+002,
       2.199983e-002,       2.199490e+000,      -8.573000e+002,
       2.299040e-002,       2.298540e+000,      -8.935000e+002,
       2.399085e-002,       2.398590e+000,      -8.931000e+002,
       2.499128e-002,       2.498630e+000,      -8.275000e+002,
       2.599167e-002,       2.598670e+000,      -7.273000e+002,
       2.699202e-002,       2.698710e+000,      -7.034000e+002,
       2.799234e-002,       2.798740e+000,      -7.820000e+002,
       2.899263e-002,       2.898770e+000,      -8.995000e+002,
       2.999291e-002,       2.998800e+000,      -9.292000e+002,
       3.099320e-002,       3.098820e+000,      -9.050000e+002,
       3.199343e-002,       3.198850e+000,      -8.650000e+002,
       3.299356e-002,       3.298860e+000,      -8.259000e+002,
       3.399358e-002,       3.398860e+000,      -7.957000e+002,
       3.499356e-002,       3.498860e+000,      -8.283000e+002,
       3.599348e-002,       3.598850e+000,      -8.991000e+002,
       3.699335e-002,       3.698840e+000,      -9.441000e+002,
       3.799318e-002,       3.798820e+000,      -9.068000e+002,
       3.899296e-002,       3.898800e+000,      -8.654000e+002,
       3.999268e-002,       3.998770e+000,      -8.644000e+002,
       4.099233e-002,       4.098740e+000,      -9.122000e+002,
       4.199193e-002,       4.198700e+000,      -9.185000e+002,
       4.299150e-002,       4.298650e+000,      -9.351000e+002,
       4.399101e-002,       4.398610e+000,      -9.463000e+002,
       4.499047e-002,       4.498550e+000,      -9.593000e+002,
       4.599976e-002,       4.599480e+000,      -9.004000e+002,
       4.699910e-002,       4.699420e+000,      -8.825000e+002,
       4.799840e-002,       4.799350e+000,      -9.233000e+002,
       4.899765e-002,       4.899270e+000,      -9.947000e+002,
       4.999684e-002,       4.999190e+000,      -9.861000e+002,
       5.099596e-002,       5.099100e+000,      -9.635000e+002,
       5.199501e-002,       5.199010e+000,      -9.677000e+002,
       5.299398e-002,       5.298900e+000,      -9.823000e+002,
       5.399291e-002,       5.398800e+000,      -9.639000e+002,
       5.499180e-002,       5.498690e+000,      -9.601000e+002,
       5.599066e-002,       5.598570e+000,      -9.958000e+002,
       5.699937e-002,       5.699440e+000,      -1.028000e+003,
       5.799815e-002,       5.799320e+000,      -1.003000e+003,
       5.899690e-002,       5.899200e+000,      -9.768000e+002,
       5.999564e-002,       5.999070e+000,      -1.000000e+003,
